source_id,source_type,category,priority,technical_details,suggested_title
email_0006,support_email,Bug,Critical,Device: iPhone 14; Version: latest update; Severity: Critical - App crashes,Technical issue reported by user
email_0007,support_email,Feature Request,Medium,Requested feature: custom themes,Feature request: Add new feature
email_0008,support_email,Feature Request,Medium,Requested feature: collaboration tools,Feature request: Add voice notes
email_0009,support_email,Bug,Critical,Device: iPhone 13; Version: v1.9.8; Severity: Critical - App crashes,Technical issue reported by user
email_0010,support_email,Feature Request,Medium,Requested feature: cloud backup,Feature request: Add new feature
email_0011,support_email,Bug,Critical,Device: iPhone 13; Version: v2.1.3; Severity: Critical - App crashes,Technical issue reported by user
email_0012,support_email,Bug,Critical,Device: iPhone 14; Version: v3.0.1; Severity: Critical - App crashes,App crash issue needs investigation
email_0013,support_email,Bug,Critical,Device: iPhone 12; Version: version 2.1; Severity: Critical - App crashes,Technical issue reported by user
email_0014,support_email,Bug,Critical,Device: Samsung Galaxy S23; Version: v3.0.1; Severity: Critical - App crashes,Technical issue reported by user
email_0015,support_email,Feature Request,Medium,Requested feature: cloud backup,Feature request: Add offline sync
email_0016,support_email,Bug,Critical,Device: iPhone 14; Version: v2.1.3; Severity: Critical - App crashes,Technical issue reported by user
email_0017,support_email,Bug,Critical,Version: v2.1.3; Severity: Critical - App crashes,Technical issue reported by user
email_0018,support_email,Bug,Critical,Device: iPhone 13; Version: v3.0.1; Severity: Critical - App crashes,Technical issue reported by user
email_0019,support_email,Bug,Critical,Device: Samsung Galaxy S22; Version: v1.9.8; Severity: Critical - App crashes,Technical issue reported by user
email_0020,support_email,Feature Request,Medium,Requested feature: bulk operations,Feature request: Add collaboration tools
email_0021,support_email,Bug,Critical,Device: iPhone 14; Version: v3.0.1; Severity: Critical - App crashes,Technical issue reported by user
email_0022,support_email,Bug,High,Technical issue reported,Technical issue reported by user
email_0023,support_email,Feature Request,Medium,Requested feature: dark mode,Feature request: Add keyboard shortcuts
email_0024,support_email,Bug,Critical,Version: recent update; Severity: Critical - App crashes,Technical issue reported by user
email_0025,support_email,Bug,Critical,Device: iPhone SE; Version: v3.0.1; Severity: Critical - App crashes,Login functionality not working
email_0026,support_email,Feature Request,Medium,Requested feature: offline sync,Feature request: Add new feature
email_0027,support_email,Bug,Critical,Device: iPhone 12; Version: v2.0.5; Severity: Critical - App crashes,Data synchronization problem
email_0028,support_email,Bug,Critical,Device: iPhone SE; Version: v2.1.3; Severity: Critical - App crashes,Data synchronization problem
email_0029,support_email,Bug,Critical,Version: v2.0.5; Severity: Critical - App crashes,Technical issue reported by user
email_0030,support_email,Bug,Critical,Device: iPhone 14; Version: version 3.0; Severity: Critical - App crashes,Technical issue reported by user
